lang	word	length	rank	zipf	category
ru	свои	4	166	5.68	auto_whitelist
ru	дело	4	168	5.67	auto_whitelist
ru	над	3	170	5.67	auto_whitelist
ru	тот	3	173	5.66	auto_whitelist
ru	три	3	178	5.65	auto_whitelist
ru	всем	4	179	5.64	auto_whitelist
ru	мира	4	182	5.64	auto_whitelist
ru	стал	4	183	5.64	auto_whitelist
ru	н	1	185	5.63	auto_whitelist
ru	хотя	4	189	5.62	auto_whitelist
ru	чего	4	190	5.62	auto_whitelist
ru	ведь	4	191	5.61	auto_whitelist
ru	дома	4	195	5.6	auto_whitelist
ru	эта	3	197	5.6	auto_whitelist
ru	сам	3	200	5.59	auto_whitelist
ru	тех	3	203	5.58	auto_whitelist
ru	эту	3	210	5.57	auto_whitelist
ru	могу	4	211	5.56	auto_whitelist
ru	свой	4	213	5.56	auto_whitelist
ru	знаю	4	214	5.55	auto_whitelist
ru	двух	4	217	5.54	auto_whitelist
ru	ссср	4	227	5.53	auto_whitelist
ru	этих	4	229	5.53	auto_whitelist
ru	е	1	231	5.52	auto_whitelist
ru	этим	4	234	5.52	auto_whitelist
ru	дом	3	235	5.51	auto_whitelist
ru	ней	3	237	5.51	auto_whitelist
ru	ним	3	238	5.51	auto_whitelist
ru	либо	4	240	5.5	auto_whitelist
ru	одна	4	241	5.5	auto_whitelist
ru	буду	4	244	5.49	auto_whitelist
ru	дня	3	245	5.49	auto_whitelist
ru	ей	2	246	5.49	auto_whitelist
ru	кого	4	248	5.49	auto_whitelist
ru	друг	4	261	5.47	auto_whitelist
ru	моя	3	265	5.46	auto_whitelist
ru	оно	3	267	5.46	auto_whitelist
ru	про	3	268	5.46	auto_whitelist
ru	см	2	269	5.46	auto_whitelist
ru	рф	2	279	5.44	auto_whitelist
ru	две	3	282	5.43	auto_whitelist
ru	куда	4	284	5.43	auto_whitelist
ru	т	1	285	5.43	auto_whitelist
ru	те	2	286	5.43	auto_whitelist
ru	дела	4	290	5.41	auto_whitelist
ru	игры	4	291	5.41	auto_whitelist
ru	нее	3	294	5.41	auto_whitelist
ru	х	1	296	5.41	auto_whitelist
ru	б	1	298	5.4	auto_whitelist
ru	весь	4	300	5.4	auto_whitelist
ru	годы	4	301	5.4	auto_whitelist
ru	всю	3	305	5.39	auto_whitelist
ru	одно	4	308	5.39	auto_whitelist
ru	мир	3	313	5.38	auto_whitelist
ru	наши	4	326	5.37	auto_whitelist
ru	го	2	334	5.36	auto_whitelist
ru	д	1	335	5.36	auto_whitelist
ru	мои	3	337	5.36	auto_whitelist
ru	свое	4	339	5.36	auto_whitelist
ru	тому	4	342	5.36	auto_whitelist
ru	дней	4	345	5.35	auto_whitelist
ru	й	1	368	5.33	auto_whitelist
ru	мая	3	370	5.33	auto_whitelist
ru	пор	3	373	5.33	auto_whitelist
ru	деле	4	377	5.32	auto_whitelist
ru	мире	4	380	5.32	auto_whitelist
ru	мог	3	381	5.32	auto_whitelist
ru	типа	4	384	5.32	auto_whitelist
ru	уж	2	385	5.32	auto_whitelist
ru	имя	3	390	5.31	auto_whitelist
ru	ко	2	392	5.31	auto_whitelist
ru	руки	4	395	5.31	auto_whitelist
ru	млн	3	399	5.3	auto_whitelist
ru	мной	4	400	5.3	auto_whitelist
ru	ночь	4	404	5.3	auto_whitelist
ru	хоть	4	408	5.3	auto_whitelist
ru	жить	4	410	5.29	auto_whitelist
ru	моей	4	413	5.29	auto_whitelist
ru	пять	4	417	5.29	auto_whitelist
ru	р	1	418	5.29	auto_whitelist
ru	тыс	3	419	5.29	auto_whitelist
ru	наш	3	425	5.28	auto_whitelist
ru	роль	4	427	5.28	auto_whitelist
ru	ж	1	429	5.27	auto_whitelist
ru	идет	4	435	5.26	auto_whitelist
ru	л	1	436	5.26	auto_whitelist
ru	чуть	4	444	5.26	auto_whitelist
ru	кому	4	460	5.24	auto_whitelist
ru	сама	4	466	5.24	auto_whitelist
ru	сами	4	467	5.24	auto_whitelist
ru	сайт	4	478	5.23	auto_whitelist
ru	сын	3	480	5.23	auto_whitelist
ru	всей	4	481	5.22	auto_whitelist
ru	мало	4	484	5.22	auto_whitelist
ru	мама	4	485	5.22	auto_whitelist
ru	июня	4	493	5.21	auto_whitelist
ru	нем	3	495	5.21	auto_whitelist
ru	ними	4	496	5.21	auto_whitelist
ru	пути	4	500	5.21	auto_whitelist
ru	сил	3	501	5.21	auto_whitelist
ru	виде	4	502	5.2	auto_whitelist
ru	вся	3	503	5.2	auto_whitelist
ru	дети	4	516	5.19	auto_whitelist
ru	июля	4	517	5.19	auto_whitelist
ru	одну	4	520	5.19	auto_whitelist
ru	отец	4	521	5.19	auto_whitelist
ru	таки	4	529	5.19	auto_whitelist
ru	силы	4	544	5.18	auto_whitelist
ru	мать	4	553	5.17	auto_whitelist
ru	э	1	559	5.17	auto_whitelist
ru	доме	4	563	5.16	auto_whitelist
ru	лицо	4	565	5.16	auto_whitelist
ru	ряд	3	573	5.16	auto_whitelist
ru	та	2	575	5.16	auto_whitelist
ru	той	3	576	5.16	auto_whitelist
ru	воды	4	581	5.15	auto_whitelist
ru	нами	4	585	5.15	auto_whitelist
ru	сих	3	600	5.14	auto_whitelist
ru	счет	4	602	5.14	auto_whitelist
ru	туда	4	604	5.14	auto_whitelist
ru	час	3	606	5.14	auto_whitelist
ru	вид	3	609	5.13	auto_whitelist
ru	гг	2	610	5.13	auto_whitelist
ru	мое	3	615	5.13	auto_whitelist
ru	путь	4	619	5.13	auto_whitelist
ru	руб	3	620	5.13	auto_whitelist
ru	наша	4	625	5.12	auto_whitelist
ru	прав	4	628	5.12	auto_whitelist
ru	раза	4	632	5.12	auto_whitelist
ru	игра	4	641	5.11	auto_whitelist
ru	нью	3	644	5.11	auto_whitelist
ru	кино	4	655	5.1	auto_whitelist
ru	мере	4	657	5.1	auto_whitelist
ru	выше	4	664	5.09	auto_whitelist
ru	поле	4	671	5.09	auto_whitelist
ru	суд	3	678	5.09	auto_whitelist
ru	ходе	4	680	5.09	auto_whitelist
ru	шоу	3	684	5.09	auto_whitelist
ru	идти	4	689	5.08	auto_whitelist
ru	км	2	692	5.08	auto_whitelist
ru	ночи	4	697	5.08	auto_whitelist
ru	умер	4	707	5.08	auto_whitelist
ru	часа	4	709	5.08	auto_whitelist
ru	вещи	4	713	5.07	auto_whitelist
ru	дел	3	715	5.07	auto_whitelist
ru	др	2	716	5.07	auto_whitelist
ru	жена	4	717	5.07	auto_whitelist
ru	кем	3	721	5.07	auto_whitelist
ru	клуб	4	722	5.07	auto_whitelist
ru	речь	4	730	5.07	auto_whitelist
ru	член	4	734	5.07	auto_whitelist
ru	чтоб	4	735	5.07	auto_whitelist
ru	язык	4	736	5.07	auto_whitelist
ru	века	4	737	5.06	auto_whitelist
ru	дать	4	740	5.06	auto_whitelist
ru	дни	3	742	5.06	auto_whitelist
ru	дочь	4	743	5.06	auto_whitelist
ru	ф	1	757	5.06	auto_whitelist
ru	ю	1	759	5.06	auto_whitelist
ru	план	4	771	5.05	auto_whitelist
ru	ради	4	773	5.05	auto_whitelist
ru	сети	4	776	5.05	auto_whitelist
ru	сми	3	777	5.05	auto_whitelist
ru	наук	4	787	5.04	auto_whitelist
ru	пару	4	789	5.04	auto_whitelist
ru	силу	4	794	5.04	auto_whitelist
ru	ст	2	795	5.04	auto_whitelist
ru	твой	4	797	5.04	auto_whitelist
ru	ч	1	800	5.04	auto_whitelist
ru	киев	4	804	5.03	auto_whitelist
ru	свет	4	810	5.03	auto_whitelist
ru	сюда	4	813	5.03	auto_whitelist
ru	игр	3	817	5.02	auto_whitelist
ru	игру	4	818	5.02	auto_whitelist
ru	лица	4	821	5.02	auto_whitelist
ru	матч	4	823	5.02	auto_whitelist
ru	мм	2	826	5.02	auto_whitelist
ru	ниже	4	828	5.02	auto_whitelist
ru	рода	4	832	5.02	auto_whitelist
ru	нему	4	841	5.01	auto_whitelist
ru	оба	3	842	5.01	auto_whitelist
ru	отца	4	844	5.01	auto_whitelist
ru	руку	4	850	5.01	auto_whitelist
ru	брат	4	854	5.0	auto_whitelist
ru	края	4	860	5.0	auto_whitelist
ru	море	4	861	5.0	auto_whitelist
ru	трех	4	876	5.0	auto_whitelist
ru	чаще	4	877	5.0	auto_whitelist
ru	бог	3	879	4.99	auto_whitelist
ru	ваш	3	881	4.99	auto_whitelist
ru	вижу	4	885	4.99	auto_whitelist
ru	знал	4	887	4.99	auto_whitelist
ru	пора	4	893	4.99	auto_whitelist
ru	крым	4	899	4.98	auto_whitelist
ru	ноги	4	902	4.98	auto_whitelist
ru	ой	2	904	4.98	auto_whitelist
ru	пост	4	908	4.98	auto_whitelist
ru	суда	4	915	4.98	auto_whitelist
ru	сына	4	916	4.98	auto_whitelist
ru	тела	4	917	4.98	auto_whitelist
ru	ту	2	918	4.98	auto_whitelist
ru	утро	4	919	4.98	auto_whitelist
ru	цель	4	920	4.98	auto_whitelist
ru	ясно	4	922	4.98	auto_whitelist
ru	вами	4	924	4.97	auto_whitelist
ru	наше	4	936	4.97	auto_whitelist
ru	дал	3	950	4.96	auto_whitelist
ru	де	2	951	4.96	auto_whitelist
ru	игре	4	954	4.96	auto_whitelist
ru	курс	4	956	4.96	auto_whitelist
ru	млрд	4	957	4.96	auto_whitelist
ru	слов	4	972	4.96	auto_whitelist
ru	смог	4	974	4.96	auto_whitelist
ru	виду	4	979	4.95	auto_whitelist
ru	кг	2	985	4.95	auto_whitelist
ru	рост	4	996	4.95	auto_whitelist
ru	пол	3	1012	4.94	auto_whitelist
ru	роли	4	1018	4.94	auto_whitelist
ru	тело	4	1024	4.94	auto_whitelist
ru	двое	4	1033	4.93	auto_whitelist
ru	джон	4	1034	4.93	auto_whitelist
ru	имел	4	1036	4.93	auto_whitelist
ru	лиги	4	1038	4.93	auto_whitelist
ru	моих	4	1042	4.93	auto_whitelist
ru	хуже	4	1053	4.93	auto_whitelist
ru	цены	4	1054	4.93	auto_whitelist
ru	делу	4	1062	4.92	auto_whitelist
ru	лиц	3	1067	4.92	auto_whitelist
ru	мест	4	1069	4.92	auto_whitelist
ru	мою	3	1073	4.92	auto_whitelist
ru	опыт	4	1077	4.92	auto_whitelist
ru	сан	3	1084	4.92	auto_whitelist
ru	семь	4	1086	4.92	auto_whitelist
ru	фото	4	1091	4.92	auto_whitelist
ru	идея	4	1097	4.91	auto_whitelist
ru	срок	4	1108	4.91	auto_whitelist
ru	факт	4	1112	4.91	auto_whitelist
ru	юго	3	1114	4.91	auto_whitelist
ru	ваши	4	1118	4.9	auto_whitelist
ru	днем	4	1124	4.9	auto_whitelist
ru	ибо	3	1129	4.9	auto_whitelist
ru	утра	4	1152	4.9	auto_whitelist
ru	иван	4	1162	4.89	auto_whitelist
ru	кофе	4	1165	4.89	auto_whitelist
ru	муж	3	1167	4.89	auto_whitelist
ru	союз	4	1175	4.89	auto_whitelist
ru	твои	4	1182	4.89	auto_whitelist
ru	глаз	4	1190	4.88	auto_whitelist
ru	евро	4	1193	4.88	auto_whitelist
ru	оон	3	1207	4.88	auto_whitelist
ru	дали	4	1225	4.87	auto_whitelist
ru	зато	4	1228	4.87	auto_whitelist
ru	рано	4	1240	4.87	auto_whitelist
ru	тип	3	1246	4.87	auto_whitelist
ru	цена	4	1250	4.87	auto_whitelist
ru	боже	4	1252	4.86	auto_whitelist
ru	взял	4	1254	4.86	auto_whitelist
ru	жаль	4	1259	4.86	auto_whitelist
ru	чему	4	1276	4.86	auto_whitelist
ru	будь	4	1280	4.85	auto_whitelist
ru	воду	4	1281	4.85	auto_whitelist
ru	дает	4	1286	4.85	auto_whitelist
ru	моря	4	1291	4.85	auto_whitelist
ru	ок	2	1296	4.85	auto_whitelist
ru	нашу	4	1317	4.84	auto_whitelist
ru	папа	4	1320	4.84	auto_whitelist
ru	ряда	4	1324	4.84	auto_whitelist
ru	бога	4	1338	4.83	auto_whitelist
ru	вода	4	1342	4.83	auto_whitelist
ru	з	1	1346	4.83	auto_whitelist
ru	идут	4	1347	4.83	auto_whitelist
ru	юрий	4	1371	4.83	auto_whitelist
ru	ждет	4	1378	4.82	auto_whitelist
ru	одни	4	1387	4.82	auto_whitelist
ru	пяти	4	1403	4.82	auto_whitelist
ru	цели	4	1413	4.82	auto_whitelist
ru	шаг	3	1416	4.82	auto_whitelist
ru	ан	2	1421	4.81	auto_whitelist
ru	боль	4	1422	4.81	auto_whitelist
ru	газа	4	1426	4.81	auto_whitelist
ru	души	4	1434	4.81	auto_whitelist
ru	ес	2	1435	4.81	auto_whitelist
ru	книг	4	1441	4.81	auto_whitelist
ru	рада	4	1455	4.81	auto_whitelist
ru	твоя	4	1463	4.81	auto_whitelist
ru	бой	3	1491	4.79	auto_whitelist
ru	сеть	4	1519	4.79	auto_whitelist
ru	сон	3	1521	4.79	auto_whitelist
ru	тему	4	1523	4.79	auto_whitelist
ru	ума	3	1524	4.79	auto_whitelist
ru	базе	4	1526	4.78	auto_whitelist
ru	банк	4	1527	4.78	auto_whitelist
ru	вице	4	1529	4.78	auto_whitelist
ru	вне	3	1530	4.78	auto_whitelist
ru	зоне	4	1536	4.78	auto_whitelist
ru	зоны	4	1537	4.78	auto_whitelist
ru	идеи	4	1538	4.78	auto_whitelist
ru	стол	4	1559	4.78	auto_whitelist
ru	пара	4	1587	4.77	auto_whitelist
ru	удар	4	1592	4.77	auto_whitelist
ru	часы	4	1594	4.77	auto_whitelist
ru	явно	4	1595	4.77	auto_whitelist
ru	ваше	4	1597	4.76	auto_whitelist
ru	ка	2	1606	4.76	auto_whitelist
ru	меры	4	1615	4.76	auto_whitelist
ru	анна	4	1637	4.75	auto_whitelist
ru	вида	4	1639	4.75	auto_whitelist
ru	вряд	4	1643	4.75	auto_whitelist
ru	кпсс	4	1652	4.75	auto_whitelist
ru	обе	3	1657	4.75	auto_whitelist
ru	сила	4	1665	4.75	auto_whitelist
ru	сто	3	1669	4.75	auto_whitelist
ru	ушел	4	1676	4.75	auto_whitelist
ru	душу	4	1691	4.74	auto_whitelist
ru	жил	3	1693	4.74	auto_whitelist
ru	мимо	4	1704	4.74	auto_whitelist
ru	мужа	4	1706	4.74	auto_whitelist
ru	поля	4	1715	4.74	auto_whitelist
ru	рук	3	1721	4.74	auto_whitelist
ru	ул	2	1731	4.74	auto_whitelist
ru	цвет	4	1734	4.74	auto_whitelist
ru	виды	4	1739	4.73	auto_whitelist
ru	знак	4	1746	4.73	auto_whitelist
ru	ими	3	1749	4.73	auto_whitelist
ru	кое	3	1750	4.73	auto_whitelist
ru	моим	4	1753	4.73	auto_whitelist
ru	судя	4	1769	4.73	auto_whitelist
ru	тихо	4	1770	4.73	auto_whitelist
ru	черт	4	1776	4.73	auto_whitelist
ru	едва	4	1787	4.72	auto_whitelist
ru	мид	3	1795	4.72	auto_whitelist
ru	миру	4	1796	4.72	auto_whitelist
ru	рады	4	1807	4.72	auto_whitelist
ru	дтп	3	1826	4.71	auto_whitelist
ru	думы	4	1827	4.71	auto_whitelist
ru	жены	4	1828	4.71	auto_whitelist
ru	мае	3	1839	4.71	auto_whitelist
ru	парк	4	1848	4.71	auto_whitelist
ru	шанс	4	1869	4.71	auto_whitelist
ru	ага	3	1872	4.7	auto_whitelist
ru	ваша	4	1873	4.7	auto_whitelist
ru	еду	3	1880	4.7	auto_whitelist
ru	ждут	4	1882	4.7	auto_whitelist
ru	олег	4	1893	4.7	auto_whitelist
ru	рад	3	1907	4.7	auto_whitelist
ru	сити	4	1913	4.7	auto_whitelist
ru	уйти	4	1916	4.7	auto_whitelist
ru	фонд	4	1917	4.7	auto_whitelist
ru	ход	3	1918	4.7	auto_whitelist
ru	ван	3	1922	4.69	auto_whitelist
ru	газ	3	1924	4.69	auto_whitelist
ru	дают	4	1927	4.69	auto_whitelist
ru	итак	4	1934	4.69	auto_whitelist
ru	обо	3	1940	4.69	auto_whitelist
ru	окна	4	1942	4.69	auto_whitelist
ru	ох	2	1945	4.69	auto_whitelist
ru	азии	4	1963	4.68	auto_whitelist
ru	врач	4	1967	4.68	auto_whitelist
ru	ключ	4	1974	4.68	auto_whitelist
ru	край	4	1975	4.68	auto_whitelist
ru	ныне	4	1981	4.68	auto_whitelist
ru	рот	3	1996	4.68	auto_whitelist
ru	села	4	1997	4.68	auto_whitelist
ru	этап	4	2008	4.68	auto_whitelist
ru	дай	3	2019	4.67	auto_whitelist
ru	изд	3	2027	4.67	auto_whitelist
ru	ооо	3	2036	4.67	auto_whitelist
ru	плюс	4	2040	4.67	auto_whitelist
ru	ред	3	2047	4.67	auto_whitelist
ru	сср	3	2059	4.67	auto_whitelist
ru	тема	4	2060	4.67	auto_whitelist
ru	темы	4	2061	4.67	auto_whitelist
ru	упал	4	2064	4.67	auto_whitelist
ru	фоне	4	2068	4.67	auto_whitelist
ru	горы	4	2077	4.66	auto_whitelist
ru	зал	3	2080	4.66	auto_whitelist
ru	мвд	3	2090	4.66	auto_whitelist
ru	моем	4	2091	4.66	auto_whitelist
ru	окно	4	2096	4.66	auto_whitelist
ru	пить	4	2102	4.66	auto_whitelist
ru	реки	4	2116	4.66	auto_whitelist
ru	сочи	4	2123	4.66	auto_whitelist
ru	спб	3	2124	4.66	auto_whitelist
ru	вниз	4	2139	4.65	auto_whitelist
ru	ах	2	2178	4.64	auto_whitelist
ru	базы	4	2179	4.64	auto_whitelist
ru	бюро	4	2181	4.64	auto_whitelist
ru	душе	4	2193	4.64	auto_whitelist
ru	иди	3	2195	4.64	auto_whitelist
ru	нато	4	2203	4.64	auto_whitelist
ru	речи	4	2228	4.64	auto_whitelist
ru	цска	4	2240	4.64	auto_whitelist
ru	вес	3	2245	4.63	auto_whitelist
ru	гол	3	2248	4.63	auto_whitelist
ru	долг	4	2251	4.63	auto_whitelist
ru	июне	4	2257	4.63	auto_whitelist
ru	круг	4	2259	4.63	auto_whitelist
ru	суть	4	2287	4.63	auto_whitelist
ru	тонн	4	2290	4.63	auto_whitelist
ru	тур	3	2291	4.63	auto_whitelist
ru	ужин	4	2292	4.63	auto_whitelist
ru	цк	2	2296	4.63	auto_whitelist
ru	штаб	4	2297	4.63	auto_whitelist
ru	душа	4	2308	4.62	auto_whitelist
ru	иду	3	2312	4.62	auto_whitelist
ru	небо	4	2317	4.62	auto_whitelist
ru	само	4	2333	4.62	auto_whitelist
ru	топ	3	2340	4.62	auto_whitelist
ru	труд	4	2341	4.62	auto_whitelist
ru	цен	3	2346	4.62	auto_whitelist
ru	экс	3	2349	4.62	auto_whitelist
ru	блин	4	2357	4.61	auto_whitelist
ru	богу	4	2358	4.61	auto_whitelist
ru	вещь	4	2363	4.61	auto_whitelist
ru	июле	4	2377	4.61	auto_whitelist
ru	кафе	4	2382	4.61	auto_whitelist
ru	ми	2	2389	4.61	auto_whitelist
ru	мин	3	2390	4.61	auto_whitelist
ru	пр	2	2402	4.61	auto_whitelist
ru	рок	3	2408	4.61	auto_whitelist
ru	трое	4	2418	4.61	auto_whitelist
ru	храм	4	2421	4.61	auto_whitelist
ru	школ	4	2427	4.61	auto_whitelist
ru	боли	4	2428	4.6	auto_whitelist
ru	вера	4	2431	4.6	auto_whitelist
ru	верю	4	2432	4.6	auto_whitelist
ru	код	3	2443	4.6	auto_whitelist
ru	мини	4	2447	4.6	auto_whitelist
ru	пары	4	2455	4.6	auto_whitelist
ru	петр	4	2456	4.6	auto_whitelist
ru	лиге	4	2493	4.59	auto_whitelist
ru	марк	4	2495	4.59	auto_whitelist
ru	тв	2	2525	4.59	auto_whitelist
ru	твою	4	2526	4.59	auto_whitelist
ru	вина	4	2532	4.58	auto_whitelist
ru	даст	4	2535	4.58	auto_whitelist
ru	дата	4	2536	4.58	auto_whitelist
ru	жду	3	2541	4.58	auto_whitelist
ru	звук	4	2542	4.58	auto_whitelist
ru	лес	3	2547	4.58	auto_whitelist
ru	секс	4	2575	4.58	auto_whitelist
ru	теми	4	2582	4.58	auto_whitelist
ru	га	2	2594	4.57	auto_whitelist
ru	доля	4	2598	4.57	auto_whitelist
ru	ла	2	2605	4.57	auto_whitelist
ru	огня	4	2617	4.57	auto_whitelist
ru	век	3	2641	4.56	auto_whitelist
ru	жили	4	2650	4.56	auto_whitelist
ru	норм	4	2661	4.56	auto_whitelist
ru	твое	4	2695	4.56	auto_whitelist
ru	чай	3	2698	4.56	auto_whitelist
ru	блок	4	2703	4.55	auto_whitelist
ru	ким	3	2713	4.55	auto_whitelist
ru	леса	4	2717	4.55	auto_whitelist
ru	ног	3	2720	4.55	auto_whitelist
ru	сад	3	2740	4.55	auto_whitelist
ru	стр	3	2745	4.55	auto_whitelist
ru	брак	4	2767	4.54	auto_whitelist
ru	вашу	4	2768	4.54	auto_whitelist
ru	ди	2	2776	4.54	auto_whitelist
ru	дух	3	2777	4.54	auto_whitelist
ru	зале	4	2778	4.54	auto_whitelist
ru	лесу	4	2791	4.54	auto_whitelist
ru	лос	3	2793	4.54	auto_whitelist
ru	мер	3	2796	4.54	auto_whitelist
ru	мозг	4	2798	4.54	auto_whitelist
ru	поэт	4	2813	4.54	auto_whitelist
ru	разу	4	2818	4.54	auto_whitelist
ru	суде	4	2833	4.54	auto_whitelist
ru	тура	4	2836	4.54	auto_whitelist
ru	яйца	4	2847	4.54	auto_whitelist
ru	ад	2	2849	4.53	auto_whitelist
ru	дому	4	2864	4.53	auto_whitelist
ru	зря	3	2871	4.53	auto_whitelist
ru	карт	4	2873	4.53	auto_whitelist
ru	лев	3	2876	4.53	auto_whitelist
ru	мамы	4	2879	4.53	auto_whitelist
ru	мост	4	2882	4.53	auto_whitelist
ru	снег	4	2913	4.53	auto_whitelist
ru	су	2	2918	4.53	auto_whitelist
ru	сути	4	2919	4.53	auto_whitelist
ru	тел	3	2921	4.53	auto_whitelist
ru	ти	2	2923	4.53	auto_whitelist
ru	воде	4	2936	4.52	auto_whitelist
ru	днр	3	2949	4.52	auto_whitelist
ru	йорк	4	2954	4.52	auto_whitelist
ru	лето	4	2961	4.52	auto_whitelist
ru	обед	4	2970	4.52	auto_whitelist
ru	рыбы	4	2983	4.52	auto_whitelist
ru	ушла	4	2997	4.52	auto_whitelist
ru	аль	3	2998	4.51	auto_whitelist
ru	англ	4	2999	4.51	auto_whitelist
ru	вкус	4	3003	4.51	auto_whitelist
ru	мяч	3	3025	4.51	auto_whitelist
ru	нос	3	3028	4.51	auto_whitelist
ru	обл	3	3031	4.51	auto_whitelist
ru	очки	4	3036	4.51	auto_whitelist
ru	ран	3	3048	4.51	auto_whitelist
ru	св	2	3050	4.51	auto_whitelist
ru	ум	2	3063	4.51	auto_whitelist
ru	ходу	4	3068	4.51	auto_whitelist
ru	чел	3	3070	4.51	auto_whitelist
ru	чудо	4	3071	4.51	auto_whitelist
ru	шла	3	3072	4.51	auto_whitelist
ru	вон	3	3081	4.5	auto_whitelist
ru	дала	4	3087	4.5	auto_whitelist
ru	мэр	3	3102	4.5	auto_whitelist
ru	мясо	4	3103	4.5	auto_whitelist
ru	рука	4	3126	4.5	auto_whitelist
ru	ха	2	3144	4.5	auto_whitelist
ru	боя	3	3150	4.49	auto_whitelist
ru	жену	4	3160	4.49	auto_whitelist
ru	живу	4	3161	4.49	auto_whitelist
ru	имею	4	3166	4.49	auto_whitelist
ru	ищет	4	3169	4.49	auto_whitelist
ru	офф	3	3194	4.49	auto_whitelist
ru	плей	4	3195	4.49	auto_whitelist
